Bangla,Chatgaya
"নদীপথে যাওয়াটা কতটা নিরাপদ, বিশেষ করে বর্ষার মৌসুমে?","দইজ্জে দি যন হতটা নিরাপদ, বিশেষ গরি বর্ষাহালে?"
আমাকে আরেকটু শুটকি দাও,আঁরে আরেক্কানা উনি দও
"অফিস থেকে গাড়ি দিয়েছে, আজকে থেকে বাসায় আসতে আর দেরি হবে না","আফিসুত্তুন গারি দিইয়্যি, আজিয়েত্তুন বাসাত আসতে আর দেরি ন অইবু"
গত এক সপ্তাহ ধরে একটানা কাজ করে এখন একদম ক্লান্ত হয়ে গেছি,গত এক সপ্তাহ ধরি একটানা হাম গরি এহন এব্বেরে অরান অই গেই
তুমি কখন আসবে?,তুঁই হত্তে আইবে?
বাহির থেকে চেয়ারটা ঘরে নিয়ে এসো,বাদ্দিত্তুন চিয়ার ইয়েন ঘরুত লই আইয়্যো
আমি তো আর ইচ্ছা করে সেটা এখানে আনিনি,আঁই তো আর ইচ্ছে গরি ইয়েন এনডে ন আনি
আপনি কার মাধ্যমে এখানে এসেছেন?,অঁনে হার মাইধ্যমে এনডে আইস্যুন?
"আমি বাজার করতে যাচ্ছি ভাই, তুই কোথায় যাচ্ছিস?","আঁই বাজার গইত্তাম যাইর বদ্দা, তুই হনডে যর?"
সকালে জলদি ঘুম থেকে না উঠলে ক্লাসে যেতে দেরি হয়ে যাবে,বেইন্নে জলদি ঘুমোত্তুন ন উডিলি ক্লাসোত যাইতে দেরি অই যাইবু
আমি যখন শহরে থাকতাম তখন নিজের রান্না নিজে করে খেতাম,আঁই যহন শ'রুত থাইকতাম তহন নিজোর রান্না নিজে গরি হাইতাম
বাজারে কি কোনো ভালো মাছ ওঠেনি? পচা মাছ কতগুলো কেন নিয়ে এসেছেন?,বাজারুত কি হনো ভালা মাছ ন উডে? পুচা মাছ হদুজ্ঞুন কিল্লে লই আইসসুন?
"আজকে দোকানে কোনো কাস্টমার নেই, সব কাস্টমার গেল কোথায়?","আজিয়ে দোয়ানুত হনো কাস্টমার নেই, বিয়াক কাস্টমার গেইয়্যি হনডে?"
বিকালে উঠোনে বসে বসে চা খেতে অনেক ভাল লাগে,বিয়েলে উডোনোত বই বই চা হাইতে বৌত ভালা লাগে
আমার পাঁচটা মামাতো বোন আছে,আত্তুন পাঁচচো মঅতু বইন আছে
"আমি ঈদের ছুটিতে বাড়ি যাব, তাই আগে থেকে টিকিট কেটে রাখতে হবে","আঁই ঈদুর ছুটিত বারি যাইয়্যুম, এতেল্লে আগে ভাগে টিকেট হাডি রাহন ফরিবু"
