Chatgaya,Bangla
"আঁরার এনডে যেহেতু বৃষ্টি হম অয়, এতেল্লে ঝর ফরিলি আঁরাত্তুন ঝরুর পানি ধরি রাহন ফরিবু","আমাদের এখানে যেহেতু বৃষ্টি কম হয়, সেহেতু বৃষ্টি পড়লে আমাদের বৃষ্টির পানি ধরে রাখতে হবে"
শীতহালে ধু পিডে হাইতে বৌত মজা,শীতকালে ভাপা পিঠা খেতে অনেক মজা
ইবে কেনে হায় দে?,এটা কীভাবে খায় যে?
উইন্নি তোঁয়ার বদ্দার বলে চঅরি অইয়্যি?,শুনেছি তোমার বড় ভাইয়ের নাকি চাকরি হয়েছে?
"উধো শপিং গরিলি তো ন অইবু, ঘরোত মাছ-গুস্ত কিছু নেই","শুধু শপিং করলে তো হবে না, ঘরে মাছ-মাংস কিছু নেই"
"এই অধ্যায় ইবে বেশি কঠিন, কিছু ন বুঝির","এই অধ্যায়টা অনেক বেশি কঠিন, কিছু বুঝছি না"
তুঁই যিইয়্যেন হইবে ইয়েন গইজ্জুম,তুমি যেটা বলবে ওটা করবো
"যদি বাস ন পাই, তইলি আরাত্তুন ট্রেনুত যন ফরিবু","যদি বাস না পাই, তাহলে আমাদের ট্রেনে যেতে হবে"
আজিয়ে ঘরোত মেমান আইয়্যির এতেল্লে স্কুলোত যাইতাম নো,আজকে ঘরে মেহমান আসছে তাই স্কুলে যাব না
এহন আর আগুর মতন অনলাইন বিজনেস উত লাভ নেই,এখন আর আগের মতো অনলাইন বিজনেসে লাভ নেই
"ঢাকনা ন খুইল্লো, পানি ফরি যাইবু","ঢাকনা খুলিও না, পানি পড়ে যাবে"
"আজিয়ে দাম এক্কানা হমাই রাহন, আরেকবার আইলি এত্তে বেশি রাইক্কোন","আজকে দাম একটু কমাই রাখেন, আরেকবার আসলে তখন বেশি রাখিয়েন"
আকবর সাব বৌত ভালা মানুষ আছিল,আকবর সাহেব অনেক ভালো মানুষ ছিলেন
"আঁই আজিয়ে হাইতাম নো, বেশি মোটা অই যাইর দিন দিন","আমি আজকে খাব না, বেশি মোটা হয়ে যাচ্ছি দিন দিন"
আঁই সহজে মেইফুওয়ার লগে মার্কেটুত যাইতাম ন চাই,আমি সহজে মেয়েদের সাথে মার্কেটে যেতে চাই না
শরীল ইয়েন বেশি দুর্বল লাগের আজিয়ে,শরীরটা বেশি দুর্বল লাগছে আজ
আঁই নাস্তার পরে চা হাইতাম পছন্দ গরি,আমি নাস্তার পরে চা খেতে পছন্দ করি
"সবসময় মজা ভালা ন লাগে, আঁই এহন মজা গরিবের মুডুত নেই","সবসময় মজা ভালো লাগে না, আমি এখন মজা করার মুডে নেই"
"আত্তুন ঘোরাঘুরি ভালা ন লাগে, আত্তুন বাসাত বই থাকতেই ভালা লাগে","আমার ঘোরাঘুরি ভালো লাগে না, আমার বাসায় বসে থাকতেই ভালো লাগে"
